iter	Passed	Remaining
419	2467	3408
420	2473	3401
421	2479	3395
422	2484	3389
423	2490	3382
424	2495	3376
425	2501	3370
426	2507	3364
427	2512	3357
428	2517	3350
429	2522	3344
430	2528	3337
431	2533	3330
432	2538	3324
433	2544	3318
434	2550	3312
435	2555	3306
436	2561	3300
437	2568	3295
438	2573	3288
439	2579	3282
440	2585	3277
441	2592	3272
442	2597	3266
443	2603	3260
444	2609	3254
445	2615	3248
446	2620	3242
447	2626	3236
448	2632	3230
449	2638	3224
450	2644	3218
451	2649	3212
452	2655	3207
453	2663	3203
454	2670	3198
455	2676	3192
456	2682	3187
457	2688	3181
458	2693	3174
459	2699	3168
460	2705	3162
461	2710	3156
462	2716	3150
463	2722	3144
464	2729	3140
465	2734	3133
466	2740	3128
467	2746	3122
468	2752	3116
469	2758	3110
470	2763	3104
471	2769	3097
472	2774	3091
473	2780	3085
474	2786	3079
475	2791	3073
476	2797	3067
477	2802	3060
478	2808	3054
479	2814	3049
480	2820	3043
481	2826	3037
482	2831	3031
483	2837	3024
484	2842	3018
485	2848	3012
486	2855	3007
487	2860	3001
488	2867	2996
489	2872	2989
490	2877	2983
491	2884	2977
492	2889	2971
493	2895	2965
494	2901	2959
495	2906	2953
496	2912	2947
497	2918	2942
498	2924	2936
499	2930	2930
500	2936	2924
501	2942	2919
502	2949	2913
503	2954	2907
504	2960	2901
505	2966	2895
506	2975	2893
507	2981	2887
508	2987	2882
509	2993	2876
510	3000	2871
511	3006	2865
512	3013	2860
513	3020	2855
514	3026	2850
515	3032	2844
516	3038	2838
517	3044	2832
518	3050	2826
519	3055	2820
520	3061	2815
521	3067	2809
522	3073	2803
523	3079	2797
524	3085	2791
525	3091	2785
526	3097	2780
527	3103	2774
528	3109	2768
529	3115	2762
530	3121	2756
531	3127	2751
532	3132	2745
533	3138	2738
534	3143	2732
535	3150	2727
536	3156	2721
537	3161	2715
538	3167	2709
539	3173	2703
540	3179	2697
541	3185	2691
542	3191	2685
543	3197	2679
544	3202	2673
545	3207	2667
546	3213	2661
547	3219	2655
548	3225	2649
549	3231	2643
550	3237	2637
551	3242	2631
552	3248	2626
553	3254	2620
554	3260	2614
555	3266	2608
556	3271	2602
557	3277	2596
558	3282	2589
559	3288	2583
560	3294	2578
561	3300	2572
562	3305	2566
563	3311	2560
564	3318	2554
565	3324	2549
566	3330	2543
567	3336	2537
568	3342	2531
569	3348	2525
570	3353	2519
571	3359	2513
572	3364	2507
573	3370	2501
574	3375	2495
575	3380	2488
576	3385	2482
577	3391	2475
578	3397	2470
579	3403	2464
580	3409	2458
581	3417	2454
582	3423	2448
583	3443	2453
584	3449	2447
585	3455	2441
586	3460	2434
587	3465	2428
588	3471	2422
589	3477	2416
590	3483	2410
591	3489	2404
592	3493	2398
593	3499	2391
594	3504	2385
595	3510	2379
596	3515	2373
597	3520	2366
598	3525	2360
599	3531	2354
600	3537	2348
601	3542	2342
602	3548	2335
603	3554	2330
604	3558	2323
605	3564	2317
606	3569	2311
607	3574	2304
608	3580	2298
609	3585	2292
610	3591	2286
611	3596	2280
612	3602	2274
613	3608	2268
614	3614	2262
615	3620	2256
616	3625	2250
617	3630	2244
618	3636	2238
619	3641	2231
620	3647	2225
621	3653	2220
622	3658	2214
623	3664	2208
624	3670	2202
625	3675	2196
626	3682	2190
627	3688	2184
628	3694	2179
629	3701	2173
630	3707	2167
631	3713	2162
632	3719	2156
633	3725	2150
634	3731	2145
635	3737	2139
636	3743	2133
637	3749	2127
638	3755	2121
639	3762	2116
640	3770	2111
641	3777	2106
642	3784	2101
643	3791	2095
644	3797	2090
645	3804	2084
646	3810	2078
647	3816	2073
648	3823	2067
649	3829	2061
650	3835	2056
651	3841	2050
652	3847	2044
653	3853	2038
654	3859	2032
655	3866	2027
656	3872	2021
657	3878	2016
658	3884	2010
659	3891	2004
660	3897	1999
661	3904	1993
662	3910	1987
663	3917	1982
664	3924	1976
665	3930	1970
666	3936	1965
667	3943	1960
668	3949	1954
669	3955	1948
670	3961	1942
671	3967	1936
672	3974	1930
673	3980	1925
674	3986	1919
675	3992	1913
676	3998	1907
677	4005	1902
678	4011	1896
679	4016	1890
680	4022	1884
681	4029	1878
682	4035	1872
683	4041	1867
684	4047	1861
685	4053	1855
686	4059	1849
687	4066	1843
688	4072	1838
689	4078	1832
690	4084	1826
691	4090	1820
692	4096	1814
693	4102	1808
694	4109	1803
695	4115	1797
696	4121	1791
697	4127	1785
698	4132	1779
699	4138	1773
700	4144	1767
701	4150	1762
702	4156	1756
703	4162	1750
704	4168	1744
705	4174	1738
706	4179	1732
707	4185	1726
708	4191	1720
709	4197	1714
710	4202	1708
711	4207	1702
712	4213	1696
713	4219	1690
714	4225	1684
715	4231	1678
716	4237	1672
717	4242	1666
718	4248	1660
719	4255	1654
720	4261	1648
721	4266	1642
722	4272	1636
723	4278	1630
724	4283	1624
725	4290	1619
726	4296	1613
727	4302	1607
728	4308	1601
729	4314	1595
730	4319	1589
731	4325	1583
732	4330	1577
733	4336	1571
734	4342	1565
735	4347	1559
736	4353	1553
737	4358	1547
738	4364	1541
739	4370	1535
740	4376	1529
741	4382	1523
742	4388	1517
743	4393	1511
744	4399	1505
745	4405	1499
746	4410	1493
747	4416	1487
748	4422	1482
749	4427	1475
750	4433	1470
751	4439	1464
752	4446	1458
753	4452	1452
754	4457	1446
755	4463	1440
756	4469	1434
757	4475	1428
758	4480	1422
759	4486	1416
760	4492	1410
761	4498	1405
762	4503	1399
763	4509	1393
764	4515	1386
765	4520	1381
766	4526	1375
767	4532	1369
768	4537	1363
769	4543	1357
770	4549	1351
771	4556	1345
772	4562	1339
773	4568	1333
774	4574	1327
775	4579	1322
776	4585	1315
777	4591	1310
778	4597	1304
779	4603	1298
780	4609	1292
781	4614	1286
782	4620	1280
783	4625	1274
784	4631	1268
785	4636	1262
786	4641	1256
787	4647	1250
788	4652	1244
789	4657	1238
790	4663	1232
791	4668	1226
792	4674	1220
793	4679	1214
794	4685	1208
795	4690	1202
796	4696	1196
797	4702	1190
798	4707	1184
799	4713	1178
800	4718	1172
801	4724	1166
802	4729	1160
803	4734	1154
804	4739	1148
805	4745	1142
806	4750	1136
807	4756	1130
808	4762	1124
809	4767	1118
810	4773	1112
811	4778	1106
812	4784	1100
813	4789	1094
814	4794	1088
815	4799	1082
816	4805	1076
817	4810	1070
818	4816	1064
819	4823	1058
820	4828	1052
821	4833	1046
822	4838	1040
823	4844	1034
824	4849	1028
825	4855	1022
826	4860	1016
827	4866	1010
828	4872	1004
829	4878	999
830	4887	993
831	4894	988
832	4899	982
833	4905	976
834	4911	970
835	4917	964
836	4923	958
837	4929	952
838	4935	947
839	4940	941
840	4947	935
841	4953	929
842	4958	923
843	4966	917
844	4973	912
845	4980	906
846	4985	900
847	4991	894
848	4997	888
849	5003	882
850	5009	877
851	5016	871
852	5021	865
853	5027	859
854	5032	853
855	5039	847
856	5045	841
857	5051	836
858	5056	830
859	5062	824
860	5068	818
861	5074	812
862	5081	806
863	5088	800
864	5094	795
865	5099	789
866	5105	783
867	5111	777
868	5116	771
869	5123	765
870	5128	759
871	5134	753
872	5140	747
873	5146	741
874	5152	736
875	5157	730
876	5162	724
877	5168	718
878	5173	712
879	5178	706
880	5184	700
881	5189	694
882	5194	688
883	5199	682
884	5205	676
885	5210	670
886	5216	664
887	5221	658
888	5227	652
889	5233	646
890	5238	640
891	5243	634
892	5249	629
893	5255	623
894	5261	617
895	5266	611
896	5271	605
897	5278	599
898	5284	593
899	5290	587
900	5296	581
901	5301	576
902	5308	570
903	5314	564
904	5319	558
905	5325	552
906	5331	546
907	5337	540
908	5343	534
909	5350	529
910	5358	523
911	5365	517
912	5373	512
913	5380	506
914	5388	500
915	5395	494
916	5402	488
917	5408	483
918	5415	477
919	5422	471
920	5430	465
921	5437	460
922	5444	454
923	5451	448
924	5458	442
925	5465	436
926	5471	430
927	5478	425
928	5484	419
929	5490	413
930	5496	407
931	5503	401
932	5509	395
933	5515	389
934	5521	383
935	5527	377
936	5533	372
937	5539	366
938	5546	360
939	5552	354
940	5558	348
941	5564	342
942	5569	336
943	5575	330
944	5581	324
945	5587	318
946	5593	313
947	5598	307
948	5605	301
949	5610	295
950	5616	289
951	5621	283
952	5627	277
953	5632	271
954	5638	265
955	5644	259
956	5650	253
957	5656	247
958	5662	242
959	5668	236
960	5674	230
961	5680	224
962	5686	218
963	5691	212
964	5697	206
965	5703	200
966	5709	194
967	5715	188
968	5720	183
969	5726	177
970	5731	171
971	5737	165
972	5742	159
973	5749	153
974	5755	147
975	5762	141
976	5768	135
977	5774	129
978	5780	123
979	5786	118
980	5791	112
981	5798	106
982	5803	100
983	5809	94
984	5815	88
985	5821	82
986	5827	76
987	5832	70
988	5838	64
989	5844	59
990	5850	53
991	5856	47
992	5862	41
993	5867	35
994	5873	29
995	5879	23
996	5885	17
997	5891	11
998	5897	5
999	5902	0
