iter	RMSE
0	241.7779475
1	227.9091588
2	215.2339072
3	203.982597
4	193.5873098
5	183.9392144
6	174.7998385
7	167.1286752
8	159.9326073
9	153.6792491
10	148.0288056
11	142.1698914
12	137.0573542
13	132.1587198
14	128.0678538
15	123.5904465
16	119.9167962
17	116.4797355
18	113.0319908
19	109.8850903
20	107.2877731
21	104.9925155
22	102.8790392
23	100.5886943
24	99.05994151
25	97.16361489
26	95.31657793
27	93.79373685
28	92.31568711
29	91.04522374
30	89.83491169
31	88.79762025
32	87.63881284
33	86.63413992
34	85.86962269
35	85.10280523
36	84.50625238
37	83.80525822
38	83.26778768
39	82.36724961
40	81.5468926
41	80.85928446
42	80.23687881
43	79.55160139
44	79.0859422
45	78.63434614
46	78.31063093
47	77.84089057
48	77.20692683
49	76.80344528
50	76.38329422
51	76.12085466
52	75.65401953
53	75.33998968
54	74.60352956
55	74.17900326
56	73.96899328
57	73.73616612
58	73.50951757
59	73.18701463
60	72.85211525
61	72.62891996
62	72.46123761
63	71.977552
64	71.61464504
65	71.13913849
66	70.82247823
67	70.56321039
68	70.23015485
69	69.89546912
70	69.66741051
71	69.53508148
72	69.30866967
73	69.1134629
74	68.93605679
75	68.78717823
76	68.56596231
77	68.40144731
78	68.12704534
79	67.85198885
80	67.72491048
81	67.61411367
82	67.42549112
83	66.86534807
84	66.64693131
85	66.42978198
86	66.28109526
87	65.897467
88	65.65103766
89	65.48615006
90	65.29998396
91	65.20291355
92	65.06871373
93	64.79747634
94	64.65486255
95	64.34188518
96	64.22197024
97	63.99310634
98	63.63207592
99	63.39245789
100	63.13478217
101	62.96091437
102	62.74421894
103	62.38238529
104	62.13587247
105	62.02692008
106	61.89841625
107	61.75727333
108	61.60853566
109	61.39749892
110	61.17126569
111	60.8036129
112	60.47982943
113	60.21299288
114	60.02220773
115	59.92296649
116	59.54799496
117	59.30176418
118	59.10467186
119	59.00840535
120	58.9036988
121	58.76908648
122	58.63793911
123	58.35483135
124	58.15801853
125	57.93805434
126	57.82532165
127	57.61039747
128	57.44324276
129	57.30708746
130	57.15665345
131	56.98081089
132	56.76240127
133	56.59294941
134	56.50615089
135	56.42902011
136	56.31679072
137	56.22820493
138	56.0779386
139	55.96471378
140	55.81687197
141	55.56411406
142	55.4083672
143	55.29590669
144	55.17587863
145	55.09595104
146	54.9699739
147	54.8386049
148	54.64466991
149	54.45998358
150	54.35070729
151	54.26293103
152	54.08564448
153	53.97986785
154	53.87483054
155	53.70589198
156	53.63768836
157	53.53660344
158	53.37697734
159	53.2494887
160	53.13903135
161	53.0316977
162	52.88403061
163	52.72419777
164	52.66109643
165	52.59783093
166	52.48735435
167	52.34766823
168	52.24166273
169	52.09893543
170	51.98452788
171	51.83224122
172	51.73977302
173	51.66933109
174	51.60288874
175	51.50768525
176	51.39615217
177	51.27814385
178	51.13055993
179	51.04134239
180	50.88709315
181	50.83556301
182	50.75632825
183	50.69069524
184	50.57250359
185	50.40677529
186	50.30512258
187	50.19209464
188	50.09541773
189	50.00061507
190	49.93426384
191	49.83812935
192	49.73397999
193	49.64315878
194	49.56476873
195	49.47297322
196	49.38441025
197	49.30954598
198	49.20335988
199	49.12500128
200	49.04927452
201	48.97841081
202	48.92979319
203	48.85494175
204	48.76697894
205	48.66149101
206	48.54132265
207	48.44734282
208	48.39071072
209	48.33314874
210	48.27703823
211	48.16382609
212	48.10766666
213	48.04366661
214	47.96547396
215	47.89830548
216	47.84074369
217	47.75778065
218	47.70092318
219	47.63599746
220	47.5466021
221	47.45992601
222	47.40069957
223	47.32774504
224	47.26300556
225	47.17611375
226	47.09286208
227	47.00292003
228	46.92067846
229	46.85875121
230	46.79185245
231	46.75806944
232	46.68949559
233	46.56408585
234	46.49522891
235	46.45087348
236	46.41616137
237	46.37579394
238	46.3264595
239	46.25924376
240	46.19750621
241	46.12935027
242	46.04119358
243	45.97748293
244	45.91412225
245	45.8760621
246	45.82737911
247	45.77926037
248	45.70118223
249	45.64553731
250	45.61424244
251	45.53136769
252	45.48187153
253	45.41182277
254	45.29450005
255	45.2481665
256	45.20859849
257	45.14901962
258	45.12413396
259	45.07199584
260	44.99489407
261	44.93695988
262	44.85954941
263	44.8007922
264	44.76042434
265	44.73461043
266	44.66299251
267	44.60419334
268	44.53270504
269	44.48431385
270	44.43268595
271	44.39410998
272	44.35101928
273	44.28637957
274	44.25127483
275	44.19212652
276	44.11861861
277	44.03225488
278	43.96985676
279	43.94241671
280	43.88623288
281	43.84777744
282	43.80351999
283	43.78145311
284	43.72122111
285	43.67722451
286	43.6266152
287	43.58662864
288	43.51130333
289	43.46636
290	43.41011393
291	43.37863814
292	43.34448725
293	43.30552582
294	43.26449552
295	43.22615626
296	43.16324144
297	43.12381275
298	43.09282563
299	43.07135457
300	43.01925038
301	42.96810064
302	42.93860467
303	42.90615661
304	42.8515542
305	42.80102718
306	42.77104633
307	42.73012775
308	42.66022195
309	42.62588797
310	42.58877946
311	42.54799675
312	42.52119125
313	42.4927341
314	42.46816778
315	42.42286601
316	42.39144427
317	42.34557974
318	42.31192179
319	42.26539906
320	42.22155992
321	42.14720667
322	42.10993704
323	42.07407966
324	42.05024323
325	42.00774088
326	41.94806414
327	41.90319365
328	41.8604741
329	41.80495309
330	41.77524277
331	41.69873524
332	41.66919406
333	41.63363728
334	41.60136616
335	41.53892842
336	41.48780151
337	41.46613042
338	41.44405643
339	41.39541643
340	41.36958226
341	41.34565316
342	41.29160341
343	41.26485728
344	41.2458402
345	41.20097936
346	41.16875405
347	41.14374646
348	41.10862902
349	41.08094598
350	41.04941514
351	40.99967142
352	40.9655123
353	40.92404279
354	40.89104188
355	40.85267639
356	40.83326747
357	40.78568844
358	40.74727469
359	40.72115657
360	40.66342869
361	40.62087642
362	40.57088141
363	40.55257803
364	40.51891567
365	40.46469917
366	40.43080236
367	40.39755745
368	40.3626692
369	40.33538469
370	40.30819851
371	40.26742445
372	40.22872133
373	40.19622991
374	40.15521987
375	40.13286319
376	40.10329385
377	40.08110253
378	40.03935276
379	40.01792988
380	39.9894555
381	39.97013694
382	39.94362755
383	39.92489645
384	39.89998117
385	39.84307578
386	39.80592517
387	39.7811591
388	39.75030689
389	39.72878329
390	39.69034624
391	39.66920128
392	39.63290733
393	39.57829162
394	39.55131435
395	39.50516338
396	39.47742489
397	39.44681865
398	39.41884992
399	39.38309708
400	39.34846796
401	39.3103895
402	39.28831008
403	39.26150241
404	39.21353565
405	39.19689798
406	39.1403668
407	39.09476451
408	39.04648935
409	38.99806237
410	38.9729327
411	38.94852949
412	38.93041624
413	38.89457651
414	38.85951559
415	38.81786655
416	38.79589591
417	38.77461417
418	38.75063576
419	38.72499093
420	38.70579764
421	38.68303925
422	38.6518837
423	38.63220664
424	38.61376542
425	38.57504014
426	38.51727974
427	38.49362805
428	38.47061614
429	38.45819692
430	38.42700875
431	38.39522722
432	38.35372953
433	38.32682143
434	38.30654283
435	38.27868054
436	38.25806657
437	38.20739262
438	38.14327485
439	38.12815652
440	38.10508605
441	38.0707382
442	38.04295788
443	38.01370687
444	37.99558103
445	37.97502994
446	37.9402125
447	37.90459318
448	37.88780528
449	37.86996438
450	37.85097872
451	37.82244549
452	37.80264051
453	37.7653492
454	37.74575689
455	37.68497271
456	37.61923911
457	37.60357668
458	37.56351635
459	37.53420232
460	37.51565807
461	37.49005771
462	37.46157344
463	37.42815327
464	37.40825916
465	37.38629838
466	37.35896595
467	37.34134359
468	37.31248706
469	37.30028328
470	37.26977088
471	37.24880273
472	37.20744434
473	37.18042492
474	37.14565762
475	37.11703336
476	37.09846154
477	37.06615608
478	37.02834824
479	37.0066972
480	36.96530559
481	36.9528401
482	36.91919741
483	36.87081804
484	36.83687214
485	36.81575614
486	36.79672816
487	36.76970991
488	36.7480206
489	36.72704945
490	36.71253978
491	36.69461297
492	36.6666578
493	36.64980007
494	36.63201039
495	36.61605698
496	36.60078177
497	36.58203082
498	36.56661935
499	36.54440232
500	36.51998081
501	36.49608954
502	36.47877762
503	36.45697745
504	36.43611414
505	36.42230885
506	36.399092
507	36.37027862
508	36.33322522
509	36.32226158
510	36.3045913
511	36.29594567
512	36.26765134
513	36.25348013
514	36.22906936
515	36.19095933
516	36.15970731
517	36.15077222
518	36.13204589
519	36.10592087
520	36.09415007
521	36.06976994
522	36.04956864
523	36.0284602
524	36.01264815
525	35.99504554
526	35.96894372
527	35.94573709
528	35.90843154
529	35.87748239
530	35.83766354
531	35.82237153
532	35.8102425
533	35.78567837
534	35.74435717
535	35.69564971
536	35.68128939
537	35.6571066
538	35.62601609
539	35.61665419
540	35.5867276
541	35.57029802
542	35.55748958
543	35.54522538
544	35.50419917
545	35.48401522
546	35.46756214
547	35.45442487
548	35.4288025
549	35.4081666
550	35.39215216
551	35.38270384
552	35.36582939
553	35.35519768
554	35.33957469
555	35.28973501
556	35.27631902
557	35.26080418
558	35.23031831
559	35.20518006
560	35.18566106
561	35.15147515
562	35.12314814
563	35.10379003
564	35.08934516
565	35.07342679
566	35.05464482
567	35.01850893
568	35.00499756
569	34.98026111
570	34.96537341
571	34.9435355
572	34.93168166
573	34.90981495
574	34.90018245
575	34.87334281
576	34.84822892
577	34.82513126
578	34.80434082
579	34.76767513
580	34.75254434
581	34.7381459
582	34.72596749
583	34.71285866
584	34.69550819
585	34.6811334
586	34.66395772
587	34.64904995
588	34.63949179
589	34.61875175
590	34.60505452
591	34.56693855
592	34.53502948
593	34.52357621
594	34.48863947
595	34.47583993
596	34.45658721
